bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,137,-0.763686,0.282705
5,4,118,-0.640678,0.374579
6,5,99,-0.487626,0.464387
7,6,103,-0.310825,0.571618
8,7,83,-0.391024,0.482241
9,8,69,-0.335725,0.559636
10,9,86,-0.138953,0.530452
11,10,88,-0.164432,0.514701
12,11,4626,0.145824,0.359298
13,12,0,0,0
