bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,133,-0.723872,0.267457
5,4,124,-0.784919,0.141087
6,5,100,-0.7653,0.177856
7,6,119,-0.713655,0.175948
8,7,87,-0.641322,0.221287
9,8,87,-0.603276,0.216669
10,9,98,-0.491633,0.240467
11,10,101,-0.422129,0.255914
12,11,5343,-0.270269,0.197908
13,12,0,0,0
