bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,86,-0.0360465,0.417629
5,4,123,0.00231707,0.336278
6,5,98,0.111837,0.339482
7,6,90,0.191111,0.337546
8,7,90,0.260333,0.318808
9,8,92,0.18163,0.325708
10,9,78,0.236923,0.303133
11,10,77,0.262013,0.276335
12,11,4843,0.224162,0.276689
13,12,0,0,0
