bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,103,-0.29335,0.534547
5,4,115,-0.108739,0.51945
6,5,98,-0.138673,0.527155
7,6,96,-0.0580208,0.555407
8,7,113,-0.0932301,0.546764
9,8,116,-0.0925862,0.50016
10,9,111,-0.0665315,0.49515
11,10,107,0.0124766,0.449272
12,11,5038,0.213865,0.287087
13,12,0,0,0
