Label,nu_e,nu_e_bar,nu_mu,nu_mu_bar,nu_tau,nu_tau_bar,Total,
D+,176,0,1042,0,2,0,1220,
D-,0,121,0,336,0,1,458,
D0,450,0,2663,0,9,0,3122,
D0_bar,0,353,0,1050,0,7,1410,
D_s+,133,0,700,0,5,0,838,
D_s-,0,56,0,188,0,0,244,
Lambda_c+,18,0,104,0,0,0,122,
Sigma_c+,0,0,1,0,0,0,1,
Sigma_c++,0,0,2,0,0,0,2,
