bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,126,-0.635873,0.430856
5,4,103,-0.504223,0.444128
6,5,85,-0.312176,0.549632
7,6,104,-0.263654,0.550075
8,7,84,-0.164881,0.595738
9,8,110,-0.175909,0.60744
10,9,80,-0.025125,0.578112
11,10,130,-0.0785385,0.517436
12,11,4771,0.192139,0.318248
13,12,0,0,0
14,13,0,0,0
15,14,0,0,0
16,15,0,0,0
17,16,0,0,0
18,17,0,0,0
19,18,0,0,0
20,19,0,0,0
21,20,0,0,0
22,21,0,0,0
23,22,0,0,0
24,23,0,0,0
25,24,0,0,0
26,25,0,0,0
27,26,0,0,0
28,27,0,0,0
29,28,0,0,0
30,29,0,0,0
31,30,0,0,0
32,31,0,0,0
33,32,0,0,0
34,33,0,0,0
35,34,0,0,0
36,35,0,0,0
37,36,0,0,0
38,37,0,0,0
39,38,0,0,0
40,39,0,0,0
41,40,0,0,0
42,41,0,0,0
43,42,0,0,0
44,43,0,0,0
45,44,0,0,0
