bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,120,-0.565667,0.401586
5,4,108,-0.579907,0.371502
6,5,104,-0.529327,0.308373
7,6,121,-0.468471,0.279192
8,7,90,-0.269111,0.279491
9,8,115,-0.224043,0.308367
10,9,88,-0.0890909,0.324715
11,10,133,0.00454887,0.302045
12,11,5197,0.0767491,0.248803
13,12,0,0,0
