bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,103,-0.439466,0.420577
5,4,92,-0.381957,0.542448
6,5,89,-0.139382,0.531979
7,6,122,-0.229754,0.563717
8,7,124,-0.0593548,0.575537
9,8,106,-0.101226,0.500693
10,9,112,-0.135804,0.558688
11,10,92,0.0254348,0.461882
12,11,4964,0.202861,0.296545
13,12,0,0,0
